Index;delivery_id;delivery_partner;package_type;vehicle_type;delivery_mode;region;weather_condition;distance_km;package_weight_kg;delivery_date;expected_time_hours;delayed;delivery_status;delivery_rating;delivery_cost
1;DLV-00001;delhivery;automobile parts;bike;same day;west;clear;297.0;46.96;27/05/2024;8;no;delivered;3;1632.7205999999999
2;DLV-00002;xpressbees;cosmetics;ev van;express;central;cold;89.6;47.39;26/02/2024;2;no;delivered;5;640.17
3;DLV-00003;shadowfax;groceries;truck;two day;east;rainy;273.5;26.89;10/06/2024;10;no;delivered;4;1448.17
4;DLV-00004;dhl;electronics;ev van;same day;east;cold;269.7;12.69;31/08/2024;6;no;delivered;3;1486.57
5;DLV-00005;dhl;clothing;van;two day;north;foggy;256.7;37.02;22/09/2024;9;no;delivered;4;1394.56
6;DLV-00006;amazon logistics;documents;ev bike;express;west;rainy;48.4;33.15;08/06/2024;4;yes;delayed;3;391.45
7;DLV-00007;delhivery;groceries;scooter;same day;central;clear;198.3;43.79;26/07/2024;6;no;delivered;3;1222.87
8;DLV-00008;xpressbees;fragile items;van;same day;north;cold;114.6;42.63;03/06/2024;4;no;delivered;3;800.89
9;DLV-00009;blue dart;clothing;van;same day;south;hot;142.4;14.06;09/11/2024;5;no;delivered;5;854.18
10;DLV-00010;delhivery;pharmacy;truck;same day;east;foggy;47.1;29.28;20/12/2024;3;no;delivered;5;423.34
11;DLV-00011;fedex;groceries;scooter;same day;east;cold;293.2;22.05;04/08/2024;5;no;delivered;4;1632.15
12;DLV-00012;ecom express;electronics;truck;two day;east;cold;80.4;46.48;14/09/2024;3;no;delivered;5;541.44
13;DLV-00013;xpressbees;pharmacy;ev van;two day;north;rainy;257.7;20.56;25/03/2024;8;no;delivered;4;1350.18
14;DLV-00014;xpressbees;cosmetics;bike;express;east;stormy;19.0;3.36;25/09/2024;6;yes;failed;1;155.08
15;DLV-00015;xpressbees;automobile parts;ev bike;two day;east;stormy;237.9;24.59;08/01/2024;12;no;delivered;3;1263.27
16;DLV-00016;amazon logistics;furniture;ev van;express;north;hot;239.3;11.67;10/03/2024;8;yes;delayed;3;1281.51
17;DLV-00017;fedex;documents;bike;standard;west;stormy;79.0;0.73;28/09/2024;10;no;delivered;5;397.19
18;DLV-00018;blue dart;fragile items;ev bike;standard;central;rainy;170.7;45.62;10/01/2024;11;no;delivered;5;990.36
19;DLV-00019;amazon logistics;documents;van;same day;north;rainy;90.0;33.7;01/01/2024;4;no;delivered;3;651.1
20;DLV-00020;fedex;cosmetics;truck;express;north;rainy;64.0;6.03;29/08/2024;7;yes;failed;2;388.09
21;DLV-00021;fedex;automobile parts;scooter;two day;east;foggy;185.9;19.1;27/06/2024;6;no;delivered;4;986.8
22;DLV-00022;dhl;electronics;scooter;two day;west;stormy;217.9;14.08;22/05/2024;9;no;delivered;4;1131.74
23;DLV-00023;blue dart;automobile parts;scooter;same day;north;cold;214.1;40.85;15/08/2024;6;no;delivered;5;1293.05
24;DLV-00024;ecom express;clothing;bike;standard;central;clear;251.7;34.9;09/04/2024;8;no;delivered;4;1363.2
25;DLV-00025;amazon logistics;furniture;van;standard;east;foggy;214.9;5.67;11/04/2024;7;no;delivered;5;1091.51
26;DLV-00026;shadowfax;documents;ev van;two day;north;stormy;115.4;0.67;10/12/2024;6;no;delivered;4;578.59
27;DLV-00027;dhl;clothing;ev bike;express;east;foggy;293.8;41.03;17/04/2024;9;yes;delayed;3;1632.7205999999999
28;DLV-00028;amazon logistics;cosmetics;scooter;standard;east;clear;286.8;46.67;08/04/2024;8;no;delivered;3;1574.01
29;DLV-00029;fedex;furniture;truck;express;south;hot;136.1;48.1;21/05/2024;3;no;delivered;5;874.8
30;DLV-00030;dhl;furniture;bike;two day;east;rainy;291.4;6.12;23/08/2024;13;no;delivered;5;1475.36
31;DLV-00031;fedex;furniture;bike;standard;south;hot;295.0;19.68;15/08/2024;9;no;delivered;5;1534.04
32;DLV-00032;ekart;cosmetics;truck;same day;central;rainy;223.3;6.29;27/03/2024;10;yes;failed;1;1235.37
33;DLV-00033;delhivery;automobile parts;scooter;express;south;hot;242.5;46.73;25/10/2024;10;yes;failed;1;1402.69
34;DLV-00034;fedex;furniture;ev bike;two day;central;rainy;35.1;22.72;20/06/2024;8;no;delivered;5;243.66
35;DLV-00035;amazon logistics;clothing;bike;express;central;stormy;81.8;45.51;17/04/2024;5;yes;delayed;2;595.53
36;DLV-00036;delhivery;documents;bike;same day;east;clear;37.6;22.81;29/05/2024;3;no;delivered;4;356.43
37;DLV-00037;amazon logistics;furniture;ev bike;express;north;rainy;46.8;4.72;01/12/2024;5;yes;delayed;2;298.16
38;DLV-00038;amazon logistics;electronics;scooter;same day;central;hot;233.4;18.0;01/12/2024;5;no;delivered;5;1321.0
39;DLV-00039;ekart;documents;bike;standard;east;rainy;62.2;48.58;04/08/2024;7;no;delivered;3;456.74
40;DLV-00040;shadowfax;clothing;ev bike;standard;south;foggy;114.0;43.85;17/03/2024;6;no;delivered;4;701.55
41;DLV-00041;blue dart;automobile parts;ev bike;same day;north;foggy;131.5;25.79;18/05/2024;6;no;delivered;5;834.87
42;DLV-00042;xpressbees;groceries;ev van;express;south;rainy;21.4;16.58;07/11/2024;3;yes;delayed;3;206.74
43;DLV-00043;xpressbees;fragile items;truck;standard;west;stormy;258.5;8.37;07/09/2024;7;no;delivered;5;1317.61
44;DLV-00044;dhl;furniture;van;two day;east;rainy;253.9;7.07;24/01/2024;9;no;delivered;3;1290.71
45;DLV-00045;delhivery;furniture;ev bike;same day;north;stormy;6.7;7.96;30/07/2024;6;no;delivered;4;157.38
46;DLV-00046;ecom express;automobile parts;ev bike;standard;west;hot;178.1;26.7;25/08/2024;5;no;delivered;4;970.6
47;DLV-00047;fedex;cosmetics;truck;standard;south;hot;180.0;35.04;09/11/2024;4;no;delivered;3;1005.12
48;DLV-00048;ecom express;documents;scooter;two day;north;rainy;187.9;14.96;13/06/2024;11;no;delivered;4;984.38
49;DLV-00049;xpressbees;documents;ev van;express;west;hot;78.3;49.22;12/06/2024;4;yes;failed;1;589.16
50;DLV-00050;amazon logistics;pharmacy;ev bike;express;west;hot;51.6;23.45;12/12/2024;2;no;delivered;4;378.35
51;DLV-00051;xpressbees;electronics;ev van;same day;central;stormy;26.9;29.86;18/08/2024;5;no;delivered;5;324.08
52;DLV-00052;blue dart;clothing;truck;express;north;hot;216.7;26.89;27/04/2024;7;yes;delayed;2;1214.17
53;DLV-00053;dhl;electronics;van;standard;south;foggy;148.2;38.6;11/03/2024;5;no;delivered;4;856.8
54;DLV-00054;fedex;cosmetics;ev van;same day;south;clear;184.2;46.79;20/10/2024;5;no;delivered;4;1161.37
55;DLV-00055;fedex;groceries;truck;same day;east;stormy;167.7;42.4;16/04/2024;7;no;delivered;5;1065.7
56;DLV-00056;delhivery;electronics;ev bike;standard;central;cold;197.7;25.84;19/11/2024;9;no;delivered;5;1066.02
57;DLV-00057;fedex;cosmetics;ev van;standard;north;foggy;211.9;46.94;03/09/2024;7;no;delivered;5;1200.32
58;DLV-00058;blue dart;pharmacy;scooter;same day;west;stormy;64.3;21.05;16/03/2024;6;no;delivered;5;484.65
59;DLV-00059;xpressbees;cosmetics;scooter;two day;east;hot;206.7;3.87;05/02/2024;3;no;delivered;4;1045.11
60;DLV-00060;xpressbees;clothing;bike;two day;east;cold;83.5;6.81;03/07/2024;3;no;delivered;5;437.93
61;DLV-00061;ecom express;fragile items;truck;same day;central;foggy;9.3;47.62;17/03/2024;3;no;delivered;5;289.36
62;DLV-00062;xpressbees;clothing;ev bike;standard;west;rainy;245.9;47.01;14/02/2024;12;no;delivered;3;1370.53
63;DLV-00063;dhl;pharmacy;ev van;express;north;stormy;225.7;45.7;10/10/2024;8;yes;delayed;2;1315.6
64;DLV-00064;ecom express;pharmacy;bike;express;east;hot;226.0;37.62;07/05/2024;7;yes;delayed;2;1292.86
65;DLV-00065;dhl;clothing;bike;two day;west;hot;113.3;34.03;16/09/2024;4;no;delivered;5;668.59
66;DLV-00066;ekart;groceries;ev bike;standard;north;stormy;232.3;41.91;17/02/2024;12;no;delivered;4;1287.23
67;DLV-00067;ecom express;electronics;scooter;express;east;cold;87.7;22.38;20/06/2024;4;yes;failed;2;555.64
68;DLV-00068;dhl;furniture;van;same day;east;rainy;90.1;27.46;02/03/2024;6;no;delivered;4;632.88
69;DLV-00069;delhivery;cosmetics;bike;express;north;rainy;110.4;44.94;02/01/2024;6;yes;delayed;2;736.82
70;DLV-00070;fedex;documents;bike;same day;central;cold;217.3;3.03;15/02/2024;6;no;delivered;5;1195.59
71;DLV-00071;amazon logistics;furniture;truck;standard;south;rainy;75.2;28.25;02/09/2024;6;no;delivered;3;460.75
72;DLV-00072;blue dart;automobile parts;ev bike;two day;south;hot;23.2;19.18;17/05/2024;2;no;delivered;5;173.54
73;DLV-00073;fedex;documents;ev van;express;north;rainy;78.5;27.87;28/03/2024;8;yes;delayed;3;526.11
74;DLV-00074;blue dart;documents;van;express;north;hot;138.3;47.87;05/06/2024;8;yes;delayed;3;885.11
75;DLV-00075;xpressbees;clothing;truck;two day;north;cold;96.4;39.33;14/04/2024;3;no;delivered;4;599.99
76;DLV-00076;fedex;furniture;ev van;standard;west;cold;216.2;23.93;01/06/2024;11;no;delivered;4;1152.79
77;DLV-00077;ekart;clothing;van;express;south;stormy;24.1;34.1;26/10/2024;7;yes;delayed;3;272.8
78;DLV-00078;ekart;fragile items;scooter;standard;east;rainy;197.1;28.23;20/07/2024;13;no;delivered;4;1070.19
79;DLV-00079;shadowfax;documents;ev bike;same day;west;foggy;94.8;10.02;16/05/2024;2;no;delivered;4;604.06
